Ecuador,1KdwKuUX3d17FK2HSXd220t8Zuptp8QR-
Egypt,18BultYbv4d8i0jy1D5ERT5tKDxWVOqvK
El Salvador,1ZKVt79MOkRa4dWaB2zATsiBJPNBnM1Ua
Equatorial Guinea,1IC_ItDoVmUc5x3GBXnOasYDIUzlFPpm2
Eritrea,1FPE0_n8H9OvzEjQz-hR1PumThOyX-WHY
Estonia,1zmEncqYPzg_2QcOoHyCr0gvjLeq-PsER
Ethiopia,1eP-e_ViaC1oESl3uvpA2Cjqb6zBRvaye
Fiji,1mTmUtQthbkG1BtzROncNFwPT8CQeP-FS
Finland,1B_JegDoliePaiJ4ooShyAO_c9sFs-ciN
France,1U-qISLvmkfoa_8iHAoFt65nXBfRcS-OT
Gabon,101ugOGOQQA8Bkww3S_eTIGL2560gloqZ
Georgia,1fgB6tLO68sNfCCf9L63jBx_WYfEYa4KQ
Germany,1vPDegr00PY_p7ibnAPKZJvnr9aTG60QG
Ghana,153gxcnyOq6njYhm32IY553Wd_-OO_cLk
Greece,1T0jwvrtYim0uPO7JdI4uNwtb7OEL-dYk
Grenada,1cHa3WuTcsiKsaa2HjTSto7yIC58Slqn_
Guatemala,15WsPk6wukUWt2KYm-RCnp7ueIyjNVEer
Guinea,1SKOkhCLbyiuis40xLxwlZQVspNKSUnAZ
Guinea-Bissau,1A-11s_-XwjxWu8IakNTBLuXs3XKms1hx
Guyana,1mJDVCcD5IO2QtOKeL9nNaHettn-Movsl
Haiti,1oYzGTvTolcNaTJej-BluYvFOiPZdCQFi
Honduras,1UXe1IO1HQn2u4_qp_ZIoLD9wwvyfxw9D
Hungary,1Js2xsZAhsFGgwYAxpgrgKLsdBnMU2HII
Iceland,17lLt8nu5ESB_f04XzWD-UnOeZRVY1W_m
India,1a5fn3RIzTwbk0B8QCw5aeTvP21T3OvYR
Indonesia,17YVE9XXoc0F_juyNZLiV9wu0F3Ko31E0
Iran,1XXuBbAsdZkw14hHQI9Db91PqBMA0XwnC
Iraq,1XeSwWnF0ryWgY_0dyoT9TQ9G_uj4Et8M
Ireland,1ANMJ47E3j1HPo1ppxhFC2RcG42AlQmjm
Israel (including West Bank),1GF4agpDHwmtLop03SyIKZEuiCWK4G2kc
Italy,1mUOhcpxQd7R-oLkcxLDPnSrAN2zjQFkN
Jamaica,1-VNO8Tc98AIONdX4Kr0IYSuFwBDHGHI4
Japan,1oxMJFcxVz7pB3gPLRiOioLbcd2mn4TKa
Jordan,1t1eZWiLorgqPyQTBjlMVeDNVglk8tuhb
Kazakhstan,1X86w3QLiTjH61wmkt9ID3Pxa-o1nGK3M
Kenya,161Z1u6upOzFzI9DSbhq6UqZCaFA3Jfbd
Kiribati,1hBfYyGAK8EUBxOxs6sab0HL4C6wP2Wrr
Kosovo,1PAVCm6mpGHkdupXxRheqMnN8p2BegEu5
Kuwait,1hhBzThRA6PsCNndc_0JYca4X8rXLeVco
Kyrgyzstan,1zf3vFThBwUDiX9C5VYXCCk_JB0CsQwbI
Laos,103wDj0kLrTfItZKC06qAg5kFwNaNmWuV
Latvia,11D0s-kiliIzVbeRVcYoDWKANCs69uOIS
Lebanon,1eYjFQQi2UkvcEXVMEeoSOfsNcuL9-jFE
Lesotho,1l2tmu96cB3cSFJtZJlhM7tPVc-ltwIJf
Liberia,1Nn3w6VfjfxePR7JZYbcLp-Q9QcGB77mZ
Libya,1s0Is4WbZnjfDrXfXM1Ix69YBTLEqmNsm
Liechtenstein,1jt9bWLtjKF9F-CwC9E-ZSr8m4CC8uYCC
Lithuania,1C-K-nk5GKmtAn7JMojDbeH2pM-6x3gS5
Luxembourg,1R72u9N3IToxnZU4HH5tnHx2cnPiaEd8G
Macedonia (FYROM),1vsal8SY4lqLyAYy8WtxFzKyxfwOVV_6O
Madagascar,1UyfmGZuNvbG5LoADOzgmIzy_EoLyNmHR
Maine,1igwJGy1MUj_Vm9QhiTE93xNqrBpJblz0
Malawi,1Ew_HtfVmybWT-pr7YeTPpM6ileAccG5v
Malaysia,1JbOd2diGoYJEqF7p_J-Unaljv_DGAAQ4
Maldives,1iylEStZWdNyCp4P4N2goOjlSDglJr2dN
Mali,1FiPL0S0kCnI_FrhMO9A7txJFzkHhG1Xs
Malta,1glq2G38LVgeQELjMbNvWnHXK8h3Dkkap
Marshall Islands,1R46Sir2FgD8G8-9muj0-kthLxPjuFtDS
Mauritania,1wvcIM1IF41roaSwxJ0NJZFCcVJ9dC2sZ
Mauritius,100IP3xZxLAiof75jygdGrEHB_z-YqH2M
Mexico,1VIZm5Cli0z7P_LJ4P-NZCUyXiFMvdMEe
Micronesia,1YX_tHs-2VZ0argiaJdbQC2Fl9Cg1UcJw
Moldova,1KiVzoCR2gKtFZNN4npn3sjrGP1AOqBF2
Monaco,1uaOwRXp0hiQepeedF0binAg1Awr9fY8e
Mongolia,1pszKxue8WDqMH-AVohvHPsRLdP3ljFfK
Montenegro,1-VLdpPBkPKuhXE8nPhkro4O3LwZsj0Ul
Morocco,1udRASMU0ghilg51mxpIDtZ6sYFJnH-Pu
Mozambique,1cBw8XKSzIjro7MPyuMPFPBDpgtSbuldP
Myanmar,13mD_pA_iIMIxjjynao4F-kbraxHh0p9T
Namibia,1iBZ7venIN2b9UcIQbqE3Q4hN1S1QwwMr
Nauru,1O1aV7hx-CsIplt4JuKmg3GQYi5VSIYyt
Nepal,1SIEDH1t8tRBDggg2CyOhKtu07ftRydDc
Netherlands,1FO_A3za82iBNqgBHQVMGKqrxZgOcjwd8
Nicaragua,1ERAhj8QN5xhS3Lh_cMJBcDcAwWVSSKA0
Niger,1ASILNSLZuyzgHCmcHRkpsRRQ7qRQ1P-H
Nigeria,1HpO-Z1LRl9n71QfeWWU5iqBY-cbGqq-p
North Korea,1VX31Ld6v9trS0ZZf3N-aBpCFFsudMoXT
Norway,15nfqKvlJiBvwBP2C3_281vAlIn39v2mz
Oman,14WBB_xnUVExkCnMdmkf9huqYszGdYwxj
Pakistan,1pCXMalqN8LhjBRZUtkOjZS48IiWmrUG5
Palau,1PTzxV0uwSuekGUlA_tcPt4pCQ4zm0lFF
Panama,1fNc3wrADZoqUmDawTfz-tFWS1002yUMm
Papua New Guinea,1EhQqpQZoBU9v4QNRdbRuuubP0SMT4m6C
Paraguay,1DNeAwE1pu0GrMSxZY45vOA4AxrrHUzrh
Peru,1zRyD1LWlH1YCC_xQnkK5XyhC2jwv30rp
Philippines,1bHMUrC9EW0-cqTdgFcM5e1dyCaCyYHj5
Poland,1tMQlTmcxAu-sYT2OKgh5KAxvP71Ypy-m
Portugal,1PEIEWt05VTlEQZv8FIqdDBqbuGMuAsAA
Qatar,1AQqDKKs8OM1cnzYVveL_vid7V7dbVSoa
Republic of Congo,18iY79DK_fcqM5stxyOYZ-ChrWEsQUrIN
Romania,1QIMopZulxn4fT89F--htkR7JOBlsK9-3
Russia,12wyXgFseJe5eeW6_uDm2p5jJaL5ezT-y
Rwanda,1ovaWN8bJ4-RYXl9J_U2mjXwrqkxNjjD_
Saint Kitts and Nevis,10mEX_d6SEmTx_k9tpL51QlX7qtm87sRg
Saint Lucia,1R05kXgzAkFgnEtsyAXkNcUO_UNX-c7Kf
Saint Vincent and the Grenadines,1KsH_TkwU0TXTwNuvfwleG8EXKftPfoLX
Samoa,15Kq2i6AfCASleBCXcIJl-ewU7CJc4mwE
San Marino,1_Wa3M_PnzMBJzJhwefDjKwzB8sXiMY8f
Sao Tome and Principe,1wEiUVW4HRoUf5E1CCW6tjO6_ubO_Ncdy
Saudi Arabia,1DNrYZoVUU4xcLVOsgz5XZnl0pT-CRfyD
Senegal,10yAdVQaRkByg7Scf4LLX4nJNu4SuawAL
Serbia,1fXQwMuAF_y95HmZ96SGkQg2h7LkUICrT
Seychelles,1tGabJCrOCmGSRrjTiSDXi1KRuYMBCw34
Sierra Leone,1pVEsgxY4CCrXjVEin2hnQkbD8ahRNohc
Singapore,1nzrcXlWzjq1MPwElL7Ci8hC5nxP00qnH
Sint Maarten,1sugHBD1T_-pWFyzh0shzgJNC8JvYfb5J
Slovakia,1T6W8S3UGQ5rVmV1mZqohgga6IjA1uknj
Slovenia,1JAvlaDqLqXggQP4Iti0AnrKlKYRIZt3m
Solomon Islands,1EKJ4l8waH0E7TtRod8lDctYuK0a8ZVWY
Somalia,1ogse2kEIdjTRVWSnMSx0Tit1r-0XKG5_
South Africa,1mfIwCPd6ncySO34Xo4vajB3ijJo8lcW-
South Korea,1mf0SJfGufD5FOFKJlh84awwKoyWrA_Ky
South Sudan,1wCxTSXzCKuQO9n5sWy-Z4ZF93oFBNs2U
Spain,1hLJ8ya1Lk8qGtdojGIn9qnfNdDraDtgL
Sri Lanka,1RyHBUUZ8US-AG2ISOIKPzJSUMhdlNhVd
Sudan,1ahlB2cptESTxiM0i2IVeAhJGe7Mpk5ef
Suriname,1QDdaATLSq2Nx-8MuYCGyugAzWDR1SPlR
Swaziland,1jVTBf2GONioMLwUAZF0wuTIurXrqJKux
Sweden,1ZhWd5fT4Er3e9LhUb0pV-OxZnSjoXn_p
Switzerland,1ypvoIorLR5PG4MWYtw24D92qJSyEkijI
Syria,1ZJpV5h4qYvliXF59lgEGbSX6UYoYI_tx
Taiwan,1bn4Uxm8ILudmnKEusI4TdIzWnlPMxR_w
Tajikistan,1P2csmsh7wArRDVc5i1dgCWx23Vlr3xD9
Tanzania,1zVMbowzIRYy3AnzTIthYUtlZ2Psc4dF9
Thailand,14lLVQPmXWPoVpMRZaJy6KqEBOtkWXFqH
The Gambia,12mqozAr8H6hSHZaNuN-yYwOXtFn3neW-
Timor-Leste,1pRQB7dfXjlH02tn8SG49N9AyfUTnIOYg
Togo,1dzCgGT1ug7IUn6Ijf1KfImwp3CE6raLj
Tonga,1_-G40-8OVOYN0q1T4PF09P6EFySW3JPp
Trinidad and Tobago,1iHJCXmcgUTr4tOIWoE2-WsriI6M28MXx
Tunisia,1Snhbd7xAe5d837wDyUBYStXNvUIpF09r
Turkey,1MdkgdIVkN21QzWO192mGOwuY1X2ljCQv
Turkmenistan,1cq_q934kMdnYoP3lfXGH-Y6scdhK4W4O
Tuvalu,18ohG2x6-MEbOpQO70fUwaFoiGNBFP9zN
Uganda,1oDznJm64izDUUjUL5WrJySx1lJ-Ur5rO
Ukraine,1HBRDVFvaoPpD6N8jxStmJfeOG405b-CO
United Arab Emirates,1MYZVbWc6BUrLwHHv0AVgs9biunDst6C_
United Kingdom,1w1cKfNJNM4V8SaZjD-ZHk7JEdD0KnvSo
United States,1WIbU7RHEvzieBiHsKa_BLsSIMy3fdCJU
Uruguay,1KyVvmb6o_2IufkMkvA0tGA35Ta_jzlxt
Uzbekistan,11ec8V_GHrDARW6NQehbtn-g2Rnm6WKBX
Vanuatu,1MFB_aGvF0UwHyt3OI0bS3RoD_4Z8aWcs
Venezuela,19uxopy4ewLUljZYJvB-rOEd3ui4XdaTW
Vietnam,1AhaCK_XMb6yhQ0pAqDzzI8eiw2VU8ea_
Yemen,1yuvQhr1110gs7MaQLJe5kSe-QXkz5roA
Zambia,1R7lRbe8y24gEPPtlJ2-QcLhHnucmsrD9
Zimbabwe,16FBuESlqBYbsqeTeB55uuwAzldw6CG9G
Christmas Island,1xmrtVFMJgkRwzBrtGyeRf8-Bw_mSLn92
New Zealand,1HOWwTKkfrCe7rMVVRlyIXrr-t_zEIB70
